iter	Passed	Remaining
574	16310	12055
575	16336	12025
576	16363	11996
577	16395	11970
578	16426	11943
579	16458	11918
580	16491	11893
581	16521	11866
582	16548	11836
583	16574	11806
584	16604	11779
585	16629	11748
586	16656	11719
587	16681	11688
588	16707	11658
589	16735	11629
590	16761	11599
591	16787	11569
592	16816	11541
593	16839	11509
594	16866	11480
595	16893	11451
596	16923	11423
597	16951	11395
598	16983	11369
599	17014	11343
600	17046	11316
601	17078	11290
602	17108	11263
603	17134	11234
604	17159	11203
605	17187	11174
606	17213	11144
607	17239	11115
608	17269	11087
609	17294	11057
610	17323	11029
611	17351	11000
612	17376	10970
613	17402	10940
614	17432	10913
615	17457	10882
616	17486	10854
617	17513	10825
618	17539	10795
619	17570	10769
620	17601	10742
621	17630	10714
622	17659	10686
623	17685	10656
624	17714	10628
625	17740	10599
626	17766	10569
627	17793	10540
628	17818	10509
629	17845	10480
630	17874	10452
631	17901	10423
632	17930	10395
633	17957	10366
634	17986	10338
635	18011	10308
636	18040	10280
637	18067	10251
638	18093	10221
639	18120	10192
640	18146	10162
641	18173	10133
642	18202	10106
643	18233	10079
644	18259	10050
645	18287	10021
646	18314	9992
647	18340	9962
648	18367	9933
649	18393	9904
650	18418	9874
651	18447	9846
652	18477	9819
653	18503	9789
654	18531	9760
655	18561	9733
656	18586	9703
657	18612	9674
658	18643	9646
659	18667	9616
660	18695	9588
661	18722	9559
662	18748	9529
663	18775	9500
664	18802	9471
665	18829	9443
666	18858	9414
667	18891	9388
668	18918	9360
669	18945	9331
670	18972	9302
671	19001	9274
672	19027	9244
673	19055	9216
674	19084	9188
675	19116	9162
676	19144	9133
677	19170	9104
678	19200	9077
679	19226	9047
680	19253	9019
681	19280	8990
682	19308	8961
683	19335	8932
684	19363	8904
685	19389	8875
686	19414	8845
687	19443	8817
688	19467	8787
689	19495	8758
690	19525	8731
691	19554	8703
692	19585	8676
693	19615	8648
694	19643	8620
695	19671	8592
696	19701	8564
697	19726	8534
698	19755	8507
699	19780	8477
700	19805	8447
701	19834	8419
702	19861	8391
703	19887	8361
704	19915	8333
705	19966	8314
706	19995	8286
707	20023	8258
708	20050	8229
709	20077	8200
710	20103	8171
711	20128	8142
712	20155	8112
713	20182	8084
714	20208	8055
715	20267	8038
716	20372	8040
717	20416	8018
718	20458	7995
719	20491	7968
720	20518	7939
721	20552	7913
722	20585	7886
723	20622	7861
724	20650	7833
725	20683	7806
726	20712	7778
727	20740	7749
728	20768	7720
729	20793	7690
730	20841	7669
731	20883	7645
732	20911	7617
733	20937	7587
734	20966	7559
735	20992	7529
736	21019	7500
737	21046	7471
738	21076	7443
739	21101	7414
740	21130	7385
741	21157	7356
742	21186	7328
743	21213	7299
744	21238	7269
745	21267	7241
746	21292	7211
747	21320	7182
748	21347	7153
749	21375	7125
750	21416	7100
751	21447	7072
752	21477	7045
753	21508	7017
754	21536	6988
755	21566	6960
756	21596	6932
757	21626	6904
758	21655	6876
759	21685	6848
760	21714	6819
761	21745	6791
762	21771	6762
763	21798	6733
764	21826	6704
765	21851	6675
766	21880	6646
767	21906	6617
768	21935	6589
769	21962	6560
770	21988	6531
771	22014	6501
772	22044	6473
773	22068	6443
774	22099	6415
775	22124	6386
776	22153	6358
777	22182	6329
778	22209	6300
779	22241	6273
780	22270	6244
781	22297	6215
782	22322	6186
783	22350	6157
784	22378	6129
785	22404	6099
786	22430	6070
787	22459	6042
788	22487	6013
789	22512	5984
790	22539	5955
791	22565	5926
792	22592	5897
793	22619	5868
794	22650	5840
795	22674	5811
796	22704	5782
797	22731	5754
798	22756	5724
799	22784	5696
800	22812	5667
801	22839	5638
802	22866	5609
803	22893	5581
804	22921	5552
805	22948	5523
806	22973	5494
807	23002	5465
808	23031	5437
809	23058	5408
810	23085	5379
811	23116	5352
812	23145	5323
813	23171	5294
814	23200	5266
815	23227	5237
